sourate,verset,jummal,lettres
5,99,3262,45
5,100,5397,73
5,101,6465,100
5,102,1646,34
5,103,4852,85
5,104,3815,100
5,105,6886,86
5,106,19517,213
5,107,9994,128
5,108,4852,99
5,109,4082,59
5,110,25584,280
5,111,2840,61
5,112,4518,86
5,113,3089,66
5,114,5296,97
5,115,4105,70
5,116,10502,153
5,117,7452,108
5,118,4189,47
5,119,9131,102
5,120,2726,42
6,1,7843,88
6,2,5632,49
6,3,3319,52
6,4,3164,42
6,5,2596,53
6,6,8756,138
6,7,3905,66
6,8,3775,53
6,9,1248,44
6,10,3815,56
6,11,4439,41
6,12,6261,100
6,13,1105,37
6,14,7856,92
6,15,3555,29
6,16,2811,36
6,17,3840,56
6,18,1591,32
6,19,9182,137
6,20,4962,68
6,21,5208,54
6,22,5385,57
6,23,3333,43
6,24,4202,41
6,25,7067,133
6,26,1674,47
6,27,4837,68
6,28,2735,60
6,29,1643,39
6,30,6558,76
6,31,9412,111
6,32,4451,60
6,33,4162,66
6,34,6458,90
6,35,8814,114
6,36,3715,50
6,37,2661,67
6,38,5309,82
6,39,6608,71
6,40,5812,62
6,41,3628,46
6,42,5171,57
6,43,4212,63
6,44,8001,79
6,45,2999,42
6,46,8983,90
6,47,5148,56
6,48,4059,64
6,49,3377,43
6,50,5974,103
6,51,4980,65
6,52,7595,105
6,53,4763,71
6,54,7414,108
6,55,2903,35
6,56,5824,74
6,57,4792,77
6,58,4107,59
6,59,7459,113
6,60,7746,95
6,61,5435,71
6,62,1795,48
6,63,6905,73
6,64,2800,36
6,65,9492,105
6,66,1915,32
6,67,1681,21
6,68,12839,103
6,69,3898,47
6,70,13914,175
6,71,8981,160
6,72,2658,38
6,73,7810,106
6,74,5186,58
6,75,3867,50
6,76,2366,54
6,77,4983,69
6,78,6067,65
6,79,4124,53
6,80,6519,92
6,81,6612,93
6,82,3013,52
6,83,3857,58
6,84,4254,100
6,85,912,34
6,86,1939,44
6,87,3856,56
6,88,2554,59
6,89,3440,81
6,90,3508,66
6,91,13489,171
6,92,8271,102
6,93,16839,201
